Application,Biomimetic_Material,Quantity
Meniscus Replacement (Leg),Collagen-based scaffold,7
Meniscus Replacement (Leg),Hyaluronic acid,1.5
Meniscus Replacement (Leg),Silk fibroin,4
Meniscus Replacement (Leg),Polycaprolactone (PCL),3
Meniscus Replacement (Leg),Polyethylene glycol (PEG),4.5
Meniscus Replacement (Leg),Polylactic acid (PLA),3
Meniscus Replacement (Leg),Polyglycolic acid (PGA),3
Cartilage Repair (Leg),Chitosan,8
Cartilage Repair (Leg),Hydroxyapatite,3
Cartilage Repair (Leg),Polyglycolic acid (PGA),4
Cartilage Repair (Leg),Polycaprolactone (PCL),2.5
Cartilage Repair (Leg),Fibrin,3.5
Cartilage Repair (Leg),Collagen Type II,6
Cartilage Repair (Leg),Alginate,5
Ankle Ligament Reconstruction (Leg),Polyethylene glycol (PEG),6
Ankle Ligament Reconstruction (Leg),Elastin,3
Ankle Ligament Reconstruction (Leg),Polylactic acid (PLA),4
Ankle Ligament Reconstruction (Leg),Polyglycolic acid (PGA),5
Ankle Ligament Reconstruction (Leg),Collagen-based scaffold,7
Ankle Ligament Reconstruction (Leg),Polycaprolactone (PCL),4
Ankle Ligament Reconstruction (Leg),Hydroxyapatite,3
Bionic Feet with Sensors (Leg),Carbon nanotubes,0.8
Bionic Feet with Sensors (Leg),Graphene,0.5
Bionic Feet with Sensors (Leg),Polydimethylsiloxane (PDMS),3.2
Bionic Feet with Sensors (Leg),Titanium dioxide nanoparticles,0.3
Bionic Feet with Sensors (Leg),Silver nanoparticles,0.2
Bionic Feet with Sensors (Leg),Silicone rubber,4
Bionic Feet with Sensors (Leg),Stainless steel,1.5
Fingertip Prostheses (Hand),Silicone elastomer,8
Fingertip Prostheses (Hand),Polyurethane,4
Fingertip Prostheses (Hand),Acrylic resin,2.5
Fingertip Prostheses (Hand),Polylactic acid (PLA),3
Fingertip Prostheses (Hand),Polycaprolactone (PCL),3.5
Fingertip Prostheses (Hand),Hydroxyapatite,1
Tendon & Ligament Repair (Hand),Collagen-based scaffold,6
Tendon & Ligament Repair (Hand),Alginate,4
Tendon & Ligament Repair (Hand),Polypropylene,6
Tendon & Ligament Repair (Hand),Polycaprolactone (PCL),3
Tendon & Ligament Repair (Hand),Polyethylene glycol (PEG),5
Tendon & Ligament Repair (Hand),Hyaluronic acid,2
Tendon & Ligament Repair (Hand),Silk fibroin,4
Sensory Feedback (Hand),Conductive polymers,0.5
Sensory Feedback (Hand),Piezoelectric materials,2
Sensory Feedback (Hand),Microfluidic channels ,3
Sensory Feedback (Hand),Silver nanoparticles,0.2
Sensory Feedback (Hand),Graphene,0.1
Sensory Feedback (Hand),Polyimide,1
Artificial Skin (Hand),Hydrogel,8
Artificial Skin (Hand),Elastomeric substrates,5
Artificial Skin (Hand),Polyethylene glycol (PEG),3
Artificial Skin (Hand),Collagen,4
Artificial Skin (Hand),Alginate,3
Artificial Skin (Hand),Polycaprolactone (PCL),2
Artificial Skin (Hand),Polyvinyl alcohol (PVA),3
